tree	clade_id	n_tips	internal_bl	stem_bl	mean_tip_dist	clade_prop_tree_bl
HA_B	1	2	2e-06	1e-06	2e-06	0.0
HA_B	2	2	2e-06	0.003331	2e-06	0.0
HA_B	3	19	0.021233	0.003637	0.002949	0.004242
HA_B	4	2	2e-06	0.000651	2e-06	0.0
HA_B	5	4	0.0	0.0	0.0	0.0
HA_B	6	4	0.000651	0.000647	0.000433	0.00013
HA_B	7	2	2e-06	0.000647	2e-06	0.0
HA_B	8	4	0.002603	0.000644	0.001735	0.00052
HA_B	9	2	2e-06	0.000646	2e-06	0.0
HA_B	10	2	0.0	1e-06	0.0	0.0
HA_B	11	2	2e-06	0.000646	2e-06	0.0
HA_B	12	2	2e-06	0.001942	2e-06	0.0
HA_B	13	3	0.011272	0.00299	0.007515	0.002252
HA_B	14	3	0.002372	1e-06	0.001581	0.000474
HA_B	15	2	0.0	0.0	0.0	0.0
HA_B	16	5	0.004577	0.001306	0.001831	0.000914
HA_B	17	4	2e-06	0.001069	1e-06	0.0
HA_B	18	3	0.0	1e-06	0.0	0.0
HA_B	19	3	4e-06	0.002378	3e-06	1e-06
HA_B	20	6	0.000598	0.000593	0.0002	0.00012
HA_B	21	6	0.001959	1e-06	0.001044	0.000391
HA_B	22	2	0.000594	0.001184	0.000594	0.000119
HA_B	23	2	2e-06	0.000653	2e-06	0.0
HA_B	24	5	5e-06	0.000652	2e-06	1e-06
HA_B	25	2	2e-06	0.000653	2e-06	0.0
HA_B	26	2	2e-06	0.000652	2e-06	0.0
HA_B	27	2	2e-06	0.00065	2e-06	0.0
HA_B	28	2	2e-06	0.001305	2e-06	0.0
HA_B	29	2	2e-06	0.000653	2e-06	0.0
HA_B	30	2	2e-06	0.001186	2e-06	0.0
HA_B	31	2	2e-06	0.002388	2e-06	0.0
HA_B	32	3	0.0	1e-06	0.0	0.0
HA_B	33	3	2e-06	1e-06	1e-06	0.0
HA_B	34	3	0.002979	1e-06	0.001986	0.000595
HA_B	35	2	2e-06	0.002386	2e-06	0.0
HA_B	36	5	4e-06	0.001188	2e-06	1e-06
HA_B	37	2	2e-06	0.000653	2e-06	0.0
HA_B	38	2	0.000597	2e-06	0.000597	0.000119
HA_B	39	12	0.0	1e-06	0.0	0.0
HA_B	40	7	5e-06	0.000655	2e-06	1e-06
HA_B	41	4	0.000657	0.000654	0.000329	0.000131
HA_B	42	2	2e-06	0.000656	2e-06	0.0
HA_B	43	17	0.003938	0.000655	0.001022	0.000787
HA_B	44	2	2e-06	0.000655	2e-06	0.0
HA_B	45	16	0.0	1e-06	0.0	0.0
HA_B	46	4	0.000659	0.000596	0.00033	0.000132
HA_B	47	2	2e-06	0.000655	2e-06	0.0
HA_B	48	2	2e-06	0.000656	2e-06	0.0
HA_B	49	2	2e-06	0.001968	2e-06	0.0
HA_B	50	2	2e-06	0.002624	2e-06	0.0
HA_B	51	36	0.006907	0.000594	0.000725	0.00138
HA_B	52	5	0.001194	0.000594	0.000478	0.000239
HA_B	53	7	0.003926	0.001307	0.001496	0.000784
HA_B	54	3	2e-06	0.00131	1e-06	0.0
HA_B	55	2	0.001186	1e-06	0.001186	0.000237
HA_B	56	3	3e-06	1e-06	2e-06	1e-06
HA_B	57	2	2e-06	1e-06	2e-06	0.0
HA_H1N1	1	2	2e-06	0.020243	2e-06	0.0
HA_H1N1	2	7	0.009958	0.006639	0.004109	0.000264
HA_H1N1	3	5	0.006648	0.013284	0.002659	0.000176
HA_H1N1	4	2	0.075579	0.08443	0.075579	0.002004
HA_H1N1	5	2	0.002009	0.006038	0.002009	5.3e-05
HA_H1N1	6	6	0.01748	0.004013	0.005827	0.000463
HA_H1N1	7	2	0.010256	0.003402	0.010256	0.000272
HA_H1N1	8	2	0.0	1e-06	0.0	0.0
HA_H1N1	9	2	2e-06	0.006045	2e-06	0.0
HA_H1N1	10	6	0.040322	0.010096	0.015459	0.001069
HA_H1N1	11	9	0.014094	0.002011	0.003691	0.000374
HA_H1N1	12	2	2e-06	1e-06	2e-06	0.0
HA_H1N1	13	2	0.0	1e-06	0.0	0.0
HA_H1N1	14	2	2e-06	1e-06	2e-06	0.0
HA_H1N1	15	3	0.001918	0.001916	0.001279	5.1e-05
HA_H1N1	16	4	0.00968	0.005741	0.005158	0.000257
HA_H1N1	17	4	0.006017	0.004015	0.003342	0.00016
HA_H1N1	18	2	2e-06	0.004008	2e-06	0.0
HA_H1N1	19	2	2e-06	0.006033	2e-06	0.0
HA_H1N1	20	3	0.007651	0.00191	0.005101	0.000203
HA_H1N1	21	16	0.0435	0.00191	0.006296	0.001153
HA_H1N1	22	3	0.007647	0.005739	0.005098	0.000203
HA_H1N1	23	2	2e-06	0.001909	2e-06	0.0
HA_H1N1	24	8	0.004011	0.001151	0.001003	0.000106
HA_H1N1	25	6	0.003916	0.00191	0.001306	0.000104
HA_H1N1	26	2	0.015642	0.001907	0.015642	0.000415
HA_H1N1	27	3	2e-06	0.004006	1e-06	0.0
HA_H1N1	28	4	0.0	1e-06	0.0	0.0
HA_H1N1	29	3	0.002008	0.002006	0.001339	5.3e-05
HA_H1N1	30	2	0.002005	0.002004	0.002005	5.3e-05
HA_H1N1	31	5	0.006019	0.002003	0.00321	0.00016
HA_H1N1	32	2	2e-06	0.00602	2e-06	0.0
HA_H1N1	33	3	0.002005	0.00602	0.001337	5.3e-05
HA_H1N1	34	2	2e-06	0.002297	2e-06	0.0
HA_H1N1	35	2	0.001919	1e-06	0.001919	5.1e-05
HA_H1N1	36	2	2e-06	0.001919	2e-06	0.0
HA_H3N2	1	9	0.024589	0.004155	0.00851	0.000758
HA_H3N2	2	2	0.006608	0.006396	0.006608	0.000204
HA_H3N2	3	3	2e-06	2e-06	1e-06	0.0
HA_H3N2	4	2	2e-06	1e-06	2e-06	0.0
HA_H3N2	5	3	0.016657	1e-06	0.011104	0.000513
HA_H3N2	6	11	0.012491	0.008334	0.002574	0.000385
HA_H3N2	7	5	3e-06	1e-06	1e-06	0.0
