DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Madagascar vs Africa
COLOR	#000000
LEGEND_TITLE	Origin
LEGEND_SHAPES	1	1
LEGEND_COLORS	#c0392b	#95a5a6
LEGEND_LABELS	Madagascar	Other Africa
DATA
EPI3733369|NA|B/South_Africa/7958/2024|EPI_ISL_19628330|B	#95a5a6
EPI3375393|NA|B/South_Africa/NHLS-SU-K062079/2024|EPI_ISL_19203489|B	#95a5a6
EPI4440382|NA|B/Madagascar/01881/2025|EPI_ISL_19907468|B	#c0392b
EPI4440358|NA|B/Madagascar/01752/2025|EPI_ISL_19907465|B	#c0392b
EPI3827354|NA|B/South_Africa/R07851/2024|EPI_ISL_19680554|B	#95a5a6
EPI4638951|NA|B/Madagascar/02456/2025|EPI_ISL_20144946|B	#c0392b
EPI4639122|NA|B/Madagascar/02370/2025|EPI_ISL_20144971|B	#c0392b
EPI4440366|NA|B/Madagascar/01806/2025|EPI_ISL_19907466|B	#c0392b
EPI4821253|NA|B/Madagascar/2365/2025|EPI_ISL_20261776|B	#c0392b
EPI4576488|NA|B/Madagascar/02365/2025|EPI_ISL_20090071|B	#c0392b
EPI4645572|NA|B/Madagascar/2135/2025|EPI_ISL_20150228|B	#c0392b
EPI4576519|NA|B/Madagascar/74050/2025|EPI_ISL_20090076|B	#c0392b
EPI4804497|NA|B/Madagascar/02219/2025|EPI_ISL_20254981|B	#c0392b
EPI5154956|NA|B/Madagascar/3049/2025|EPI_ISL_20367084|B	#c0392b
EPI4645541|NA|B/Madagascar/2230/2025|EPI_ISL_20150224|B	#c0392b
EPI4576480|NA|B/Madagascar/02354/2025|EPI_ISL_20090070|B	#c0392b
EPI4645556|NA|B/Madagascar/2035/2025|EPI_ISL_20150226|B	#c0392b
EPI4804601|NA|B/Madagascar/03049/2025|EPI_ISL_20254998|B	#c0392b
EPI4804489|NA|B/Madagascar/02196/2025|EPI_ISL_20254979|B	#c0392b
EPI4804645|NA|B/Madagascar/03519/2025|EPI_ISL_20255006|B	#c0392b
EPI4440322|NA|B/Madagascar/01571/2025|EPI_ISL_19907460|B	#c0392b
EPI5154973|NA|B/Madagascar/2632/2025|EPI_ISL_20367086|B	#c0392b
EPI4576452|NA|B/Madagascar/01714/2025|EPI_ISL_20090066|B	#c0392b
EPI4645564|NA|B/Madagascar/2001/2025|EPI_ISL_20150227|B	#c0392b
EPI4804659|NA|B/Madagascar/03633/2025|EPI_ISL_20255007|B	#c0392b
EPI4804523|NA|B/Madagascar/02296/2025|EPI_ISL_20254984|B	#c0392b
EPI4804672|NA|B/Madagascar/75272/2025|EPI_ISL_20255012|B	#c0392b
EPI4804571|NA|B/Madagascar/02713/2025|EPI_ISL_20254992|B	#c0392b
EPI4804623|NA|B/Madagascar/03190/2025|EPI_ISL_20255001|B	#c0392b
EPI4804610|NA|B/Madagascar/03178/2025|EPI_ISL_20255000|B	#c0392b
EPI5154940|NA|B/Madagascar/2898/2025|EPI_ISL_20367082|B	#c0392b
EPI4804637|NA|B/Madagascar/03346/2025|EPI_ISL_20255003|B	#c0392b
EPI4804559|NA|B/Madagascar/02631/2025|EPI_ISL_20254991|B	#c0392b
EPI3502048|NA|B/South_Africa/PATH-CERI-K062704/2024|EPI_ISL_19330994|B	#95a5a6
