LABELS
SEPARATOR TAB
DATA
EPI1547063|NA|A/Madagascar/617/2019|EPI_ISL_377901|A_/_H3N2	Madagascar/617/2019
EPI1547055|NA|A/Madagascar/889/2019|EPI_ISL_377900|A_/_H3N2	Madagascar/889/2019
EPI1547079|NA|A/Madagascar/657/2019|EPI_ISL_377903|A_/_H3N2	Madagascar/657/2019
EPI1607646|NA|A/Madagascar/657/2019|EPI_ISL_395106|A_/_H3N2	Madagascar/657/2019
EPI1547071|NA|A/Madagascar/224/2019|EPI_ISL_377902|A_/_H3N2	Madagascar/224/2019
EPI1547047|NA|A/Madagascar/145/2019|EPI_ISL_377899|A_/_H3N2	Madagascar/145/2019
EPI2366526|NA|A/Madagascar/1646/2022|EPI_ISL_16834332|A_/_H3N2	Madagascar/1646/2022
EPI2036824|NA|A/Madagascar/4126/2021|EPI_ISL_12710462|A_/_H3N2	Madagascar/4126/2021
EPI346616|NA|A/Madagascar/3299/2011|EPI_ISL_99881|A_/_H3N2	Madagascar/3299/2011
EPI319269|NA|A/Madagascar/0145/2011|EPI_ISL_90624|A_/_H3N2	Madagascar/0145/2011
EPI346614|NA|A/Madagascar/2269/2011|EPI_ISL_99880|A_/_H3N2	Madagascar/2269/2011
EPI346618|NA|A/Madagascar/1147/2011|EPI_ISL_99882|A_/_H3N2	Madagascar/1147/2011
EPI319275|NA|A/Madagascar/0638/2011|EPI_ISL_90627|A_/_H3N2	Madagascar/0638/2011
EPI319271|NA|A/Madagascar/0169/2011|EPI_ISL_90625|A_/_H3N2	Madagascar/0169/2011
EPI319267|NA|A/Madagascar/0096/2011|EPI_ISL_90623|A_/_H3N2	Madagascar/0096/2011
EPI319279|NA|A/Madagascar/0751/2011|EPI_ISL_90629|A_/_H3N2	Madagascar/0751/2011
EPI319281|NA|A/Madagascar/0817/2011|EPI_ISL_90630|A_/_H3N2	Madagascar/0817/2011
EPI319283|NA|A/Madagascar/1121/2011|EPI_ISL_90631|A_/_H3N2	Madagascar/1121/2011
EPI235368|NA|A/Madagascar/5007/2009|EPI_ISL_67438|A_/_H3N2	Madagascar/5007/2009
EPI214989|NA|A/Madagascar/878/2009|EPI_ISL_61699|A_/_H3N2	Madagascar/878/2009
EPI214991|NA|A/Madagascar/453/2009|EPI_ISL_61700|A_/_H3N2	Madagascar/453/2009
