Isolate_Id	Isolate_Name	Subtype	Host	Country	Region	Collection_Date	Segments_in_metadata	n_segs_sequenced	Missing_metadata_segs	Missing_sequence_segs	Short_sequence_segs
EPI_ISL_19530529	A/Madagascar/02679/2024	A / H1N1	Human	Madagascar	Vakinankaratra	2024-08-29	7	7	PB1	PB1	
EPI_ISL_19530528	A/Madagascar/02676/2024	A / H1N1	Human	Madagascar	Vakinankaratra	2024-08-27	7	7	PB1	PB1	
EPI_ISL_19530527	A/Madagascar/02655/2024	A / H1N1	Human	Madagascar	Amoron'i Mania	2024-08-27	7	7	PB1	PB1	
EPI_ISL_19530526	A/Madagascar/02654/2024	A / H1N1	Human	Madagascar	Amoron'i Mania	2024-08-26	7	7	PB1	PB1	
EPI_ISL_19530525	A/Madagascar/02630/2024	A / H1N1	Human	Madagascar	Analamanga	2024-08-22	7	7	PB1	PB1	
EPI_ISL_19530524	A/Madagascar/02590/2024	A / H1N1	Human	Madagascar	Analamanga	2024-08-19	7	7	PB1	PB1	
EPI_ISL_19530522	A/Madagascar/02570/2024	A / H1N1	Human	Madagascar	Analamanga	2024-08-13	7	7	PB1	PB1	
EPI_ISL_19530521	A/Madagascar/02566/2024	A / H1N1	Human	Madagascar	Amoron'i Mania	2024-08-16	7	7	PB1	PB1	
EPI_ISL_19530519	A/Madagascar/02528/2024	A / H1N1	Human	Madagascar	Analamanga	2024-08-10	7	7	PB1	PB1	
EPI_ISL_19530518	A/Madagascar/02476/2024	A / H1N1	Human	Madagascar	Analamanga	2024-08-05	7	7	PB1	PB1	
EPI_ISL_19530517	A/Madagascar/02475/2024	A / H1N1	Human	Madagascar	Analamanga	2024-08-05	7	7	PB1	PB1	
EPI_ISL_19530513	A/Madagascar/02437/2024	A / H1N1	Human	Madagascar	Analamanga	2024-08-02	7	7	PB1	PB1	
EPI_ISL_19530511	A/Madagascar/02409/2024	A / H1N1	Human	Madagascar	Vakinankaratra	2024-08-01	7	7	PB1	PB1	
EPI_ISL_19530498	A/Madagascar/01225/2024	A / H3N2	Human	Madagascar	Analamanga	2024-03-27	7	7	NS	NS	
EPI_ISL_19530497	A/Madagascar/00863/2024	A / H3N2	Human	Madagascar	Haute Matsiatra	2024-02-26	7	7	NP	NP	
EPI_ISL_19530495	A/Madagascar/00215/2024	A / H3N2	Human	Madagascar	Haute Matsiatra	2024-01-17	7	7	PB1	PB1	
EPI_ISL_19530491	A/Madagascar/02952/2024	A / H1N1	Human	Madagascar	Analamanga	2024-09-26	7	7	PB1	PB1	
EPI_ISL_19530488	A/Madagascar/02918/2024	A / H1N1	Human	Madagascar	Atsimo-Andrefana	2024-09-16	7	7	PB1	PB1	
EPI_ISL_19530482	A/Madagascar/02746/2024	A / H3N2	Human	Madagascar	Analamanga	2024-09-09	7	7	PB1	PB1	
EPI_ISL_19530481	A/Madagascar/02714/2024	A / H1N1	Human	Madagascar	Analamanga	2024-09-03	7	7	NA	NA	
EPI_ISL_19334297	A/Moramanga/02084/2024	A / H1N1	Human	Madagascar		2024-07-04	7	7	PB1	PB1	
EPI_ISL_20090058	A/Madagascar/81992/2025	A / H3N2	Human	Madagascar	Analamanga	2024-12-24	7	7	PA	PA	
EPI_ISL_20090053	A/Madagascar/71292/2025	A / H3N2	Human	Madagascar	Analamanga	2025-03-06	7	7	PA	PA	
EPI_ISL_18226890	A/Fianarantsoa/01776/2023	A / H1N1	Human	Madagascar		2023-06-13	7	7	PA	PA	
EPI_ISL_20325357	A/Madagascar/04272/2025	A / H3N2	Human	Madagascar		2025-12-11	7	7	PB2	PB2	
EPI_ISL_20325352	A/Madagascar/04234/2025	A / H3N2	Human	Madagascar		2025-12-09	7	7	PA	PA	
EPI_ISL_19704286	A/Madagascar/00003/2025	A / H1N1	Human	Madagascar	Diana	2024-12-24	7	7	PB1	PB1	
EPI_ISL_238747	A/Antsirabe/5599/2016	A / H1N1	Human	Madagascar		2016-09-27	7	7	PB1	PB1	
EPI_ISL_20264914	A/Madagascar/03974/2025	A / H3N2	Human	Madagascar	Analamanga	2025-11-19	7	7	PB2	PB2	
