tree	clade_id	tip_name	epi_isl_id	is_singleton
HA_B	1	EPI574820|HA|B/Madagascar/2439/2014|EPI_ISL_175134|B	EPI_ISL_175134	False
HA_B	1	EPI515275|HA|B/Madagascar/03256/2013|EPI_ISL_158879|B	EPI_ISL_158879	False
HA_B	1	EPI467136|HA|B/Madagascar/01481/2013|EPI_ISL_145598|B	EPI_ISL_145598	False
HA_B	1	EPI467138|HA|B/Madagascar/01609/2013|EPI_ISL_145599|B	EPI_ISL_145599	False
HA_B	1	EPI515277|HA|B/Madagascar/03261/2013|EPI_ISL_158880|B	EPI_ISL_158880	False
HA_B	2	EPI574816|HA|B/Madagascar/2340/2014|EPI_ISL_175132|B	EPI_ISL_175132	False
HA_B	2	EPI562347|HA|B/Madagascar/3124/2014|EPI_ISL_171961|B	EPI_ISL_171961	False
HA_B	3	EPI1281813|HA|B/Madagascar/667/2018|EPI_ISL_322830|B	EPI_ISL_322830	False
HA_B	3	EPI1281987|HA|B/Madagascar/904/2018|EPI_ISL_322854|B	EPI_ISL_322854	False
HA_B	3	EPI1281995|HA|B/Madagascar/1351/2018|EPI_ISL_322855|B	EPI_ISL_322855	False
HA_B	4	EPI347318|HA|B/Madagascar/1062/2005|EPI_ISL_100282|B	EPI_ISL_100282	False
HA_B	4	EPI347320|HA|B/Madagascar/71928/2004|EPI_ISL_100284|B	EPI_ISL_100284	False
HA_B	4	EPI347354|HA|B/Madagascar/66860/2002|EPI_ISL_100318|B	EPI_ISL_100318	False
HA_B	5	EPI902623|HA|B/Madagascar/0236/2011|EPI_ISL_246577|B	EPI_ISL_246577	False
HA_B	5	EPI326149|HA|B/Madagascar/0236/2011|EPI_ISL_93717|B	EPI_ISL_93717	False
HA_B	6	EPI904295|HA|B/Madagascar/01706/2012|EPI_ISL_246842|B	EPI_ISL_246842	False
HA_B	6	EPI392606|HA|B/Madagascar/01706/2012|EPI_ISL_128135|B	EPI_ISL_128135	False
HA_B	6	EPI392560|HA|B/Madagascar/03104/2012|EPI_ISL_128110|B	EPI_ISL_128110	False
HA_B	7	EPI210117|HA|B/Madagascar/4551/2009|EPI_ISL_60068|B	EPI_ISL_60068	False
HA_B	7	EPI210119|HA|B/Madagascar/4554/2009|EPI_ISL_60069|B	EPI_ISL_60069	False
HA_B	7	EPI210121|HA|B/Madagascar/4550/2009|EPI_ISL_60070|B	EPI_ISL_60070	False
HA_B	7	EPI279861|HA|B/Madagascar/1184/2010|EPI_ISL_79606|B	EPI_ISL_79606	False
HA_B	7	EPI243634|HA|B/Madagascar/7135/2009|EPI_ISL_70228|B	EPI_ISL_70228	False
HA_B	7	EPI243640|HA|B/Madagascar/5618/2009|EPI_ISL_70231|B	EPI_ISL_70231	False
HA_B	7	EPI243642|HA|B/Madagascar/6028/2009|EPI_ISL_70232|B	EPI_ISL_70232	False
HA_B	7	EPI243649|HA|B/Madagascar/5866/2009|EPI_ISL_70235|B	EPI_ISL_70235	False
HA_B	7	EPI243630|HA|B/Madagascar/6945/2009|EPI_ISL_70226|B	EPI_ISL_70226	False
HA_B	7	EPI243647|HA|B/Madagascar/6103/2009|EPI_ISL_70234|B	EPI_ISL_70234	False
HA_B	7	EPI243636|HA|B/Madagascar/5680/2009|EPI_ISL_70229|B	EPI_ISL_70229	False
HA_B	7	EPI243638|HA|B/Madagascar/4867/2009|EPI_ISL_70230|B	EPI_ISL_70230	False
HA_B	7	EPI243632|HA|B/Madagascar/7279/2009|EPI_ISL_70227|B	EPI_ISL_70227	False
HA_B	7	EPI243644|HA|B/Madagascar/7002/2009|EPI_ISL_70233|B	EPI_ISL_70233	False
HA_B	7	EPI279867|HA|B/Madagascar/2766/2010|EPI_ISL_79609|B	EPI_ISL_79609	False
HA_B	7	EPI279865|HA|B/Madagascar/2766/2010|EPI_ISL_79608|B	EPI_ISL_79608	False
HA_B	7	EPI279863|HA|B/Madagascar/82/2010|EPI_ISL_79607|B	EPI_ISL_79607	False
HA_B	7	EPI210123|HA|B/Madagascar/4540/2009|EPI_ISL_60071|B	EPI_ISL_60071	False
HA_B	7	EPI210125|HA|B/Madagascar/4254/2009|EPI_ISL_60072|B	EPI_ISL_60072	False
HA_B	8	EPI319385|HA|B/Madagascar/0245/2011|EPI_ISL_90683|B	EPI_ISL_90683	False
HA_B	8	EPI902639|HA|B/Madagascar/0245/2011|EPI_ISL_246585|B	EPI_ISL_246585	False
HA_B	8	EPI902519|HA|B/Madagascar/8699/2011|EPI_ISL_246525|B	EPI_ISL_246525	False
HA_B	8	EPI346807|HA|B/Madagascar/8699/2011|EPI_ISL_99980|B	EPI_ISL_99980	False
HA_B	8	EPI319386|HA|B/Madagascar/1119/2011|EPI_ISL_90684|B	EPI_ISL_90684	False
HA_B	8	EPI902637|HA|B/Madagascar/201119/2011|EPI_ISL_246584|B	EPI_ISL_246584	False
HA_B	8	EPI902475|HA|B/Madagascar/1191/2011|EPI_ISL_246503|B	EPI_ISL_246503	False
HA_B	8	EPI346799|HA|B/Madagascar/1191/2011|EPI_ISL_99976|B	EPI_ISL_99976	False
HA_B	8	EPI902517|HA|B/Madagascar/3866/2011|EPI_ISL_246524|B	EPI_ISL_246524	False
HA_B	8	EPI346805|HA|B/Madagascar/3866/2011|EPI_ISL_99979|B	EPI_ISL_99979	False
